3.0,5.559
8.0,3.312
2.0,27.71
8.0,0.87
2.0,579.04
19.0,10.609
2.0,83.632
36.0,599.927
34.0,5.612
40.0,8.184
36.0,24.948
40.0,38.627
2.0,2289.189
36.0,1.477
2.0,725.966
36.0,21.667
8.0,1.491
2.0,54.671
36.0,4.663
2.0,537.802
36.0,1928.395
8.0,5.896
3.0,6.339
19.0,35.497
8.0,2.736
2.0,105.043
8.0,3.716
2.0,1320.224
19.0,1.191
2.0,333.442
19.0,1.735
2.0,1352.781
8.0,3.175
3.0,4.658
8.0,62.255
2.0,107.362
3.0,1.199
8.0,1.147
2.0,1.463
36.0,4.491
8.0,256.569
2.0,92.109
6.0,44.083
8.0,39.801
3.0,2.029
8.0,1.17
2.0,326.852
36.0,25.11
2.0,159.883
6.0,100.147
36.0,1.172
6.0,39.082
2.0,4.861
6.0,5518.245
8.0,2.475
6.0,3.205
2.0,2651.826
8.0,2.21
3.0,4.999
2.0,2608.297
6.0,25.349
8.0,1.068
2.0,761.715
36.0,35.366
8.0,2.088
2.0,4.621
6.0,2.576
2.0,445.275
6.0,1375.018
2.0,285.477
3.0,2.297
2.0,1.966
8.0,8.767
2.0,241.994
15.0,30.373
42.0,6.345
2.0,11.274
42.0,25.679
2.0,124.638
50.0,6.24
2.0,78.5
6.0,152.176
8.0,3.555
3.0,13.281
6.0,1.69
8.0,6.218
2.0,5.403
8.0,1.646
42.0,4.767
2.0,115.281
6.0,9.343
2.0,9.902
8.0,7.907
2.0,135.898
8.0,124.98
2.0,3.264
8.0,2.818
50.0,10.301
2.0,31.065
12.0,0.678
2.0,239.094
50.0,3.809
42.0,113.422
2.0,61.772
6.0,46.236
8.0,2.036
3.0,0.849
2.0,301.478
13.0,28.357
2.0,1863.584
8.0,3.62
3.0,1.852
8.0,18.993
3.0,1.64
8.0,2.033
3.0,16.26
2.0,47.221
8.0,9.235
2.0,109.174
8.0,1.538
3.0,30.188
2.0,43.557
8.0,14.726
3.0,7.679
2.0,67.43
3.0,3.173
2.0,26.85
8.0,0.825
2.0,50.627
8.0,1.103
3.0,25.111
2.0,73.965
8.0,32.362
3.0,2.425
2.0,50.421
42.0,0.877
8.0,17.994
3.0,9.044
2.0,10.818
8.0,1.497
3.0,13.047
2.0,0.961
8.0,23.505
3.0,4.743
34.0,4.975
8.0,29.196
3.0,2.974
2.0,0.886
8.0,0.696
3.0,3.825
2.0,1.209
8.0,1.477
3.0,1.108
2.0,5.816
8.0,0.891
3.0,102.325
33.0,1.053
8.0,9.448
40.0,19.007
8.0,141.152
3.0,0.85
2.0,63.208
8.0,1.156
3.0,366.355
2.0,36.793
8.0,0.659
2.0,3.07
8.0,1.301
3.0,0.948
33.0,1.225
37.0,80.074
3.0,7.153
8.0,9.359
4.0,1.938
8.0,2.484
4.0,42.838
8.0,12.892
4.0,12.666
8.0,6.016
4.0,132.582
8.0,2.88
4.0,25.376
8.0,16.479
2.0,1.295
8.0,20.437
42.0,19.888
8.0,57.511
4.0,0.791
8.0,20.287
42.0,8.019
8.0,12.431
3.0,1.263
8.0,7.999
3.0,11.133
2.0,1.252
8.0,0.849
3.0,23.962
2.0,90.878
8.0,0.79
3.0,27.924
2.0,28.047
3.0,4.935
2.0,76.847
8.0,1.082
3.0,0.792
8.0,0.652
3.0,16.295
2.0,105.63
8.0,0.693
3.0,9.744
2.0,20.955
8.0,75.196
2.0,145.669
8.0,7.05
2.0,29.096
2.0,871.985
8.0,13.498
2.0,23.495
8.0,4.11
3.0,43.529
2.0,96.527
8.0,3.206
2.0,155.332
8.0,1.04
2.0,2107.42
3.0,1.119
2.0,1834.982
8.0,1.929
2.0,1242.644
8.0,0.954
3.0,9584.186
2.0,1613.461
8.0,28.786
2.0,499.599
8.0,1.145
2.0,4913.941
8.0,10.68
3.0,0.901
3.0,2.95
29.0,5.212
8.0,40.367
3.0,6.328
42.0,1.508
2.0,114.024
8.0,3.233
2.0,4.391
8.0,3.831
15.0,6.191
2.0,38.085
34.0,6.174
40.0,7.031
2.0,17.636
50.0,12.583
8.0,20.497
6.0,2.162
34.0,0.805
8.0,7.458
50.0,5.06
34.0,3.005
40.0,0.971
50.0,1.274
34.0,14.3
50.0,1.325
8.0,3.99
40.0,2.51
50.0,1.102
6.0,40.846
8.0,5.052
50.0,6.537
6.0,57.38
8.0,0.566
33.0,7.056
2.0,3566.651
6.0,71.04
34.0,5.878
6.0,2.31
8.0,1.321
2.0,2.338
8.0,4.594
2.0,17.542
8.0,25.23
6.0,11.852
8.0,2.007
2.0,7.069
8.0,25.2
3.0,1.689
6.0,17.612
2.0,1.264
6.0,1.805
8.0,26.376
3.0,12.958
6.0,3.842
2.0,6.723
6.0,1.15
8.0,0.804
3.0,35.538
6.0,14.104
2.0,9.371
6.0,1.221
8.0,3.884
6.0,38.153
8.0,1.86
6.0,14.704
2.0,3.727
8.0,0.921
3.0,7.415
2.0,7.123
6.0,2.24
8.0,20.853
6.0,2.735
8.0,14.758
3.0,5.781
6.0,19.297
3.0,12.934
6.0,7.347
8.0,2.924
6.0,3.038
3.0,9.543
6.0,39.2
3.0,2.625
6.0,1.364
8.0,1.762
2.0,34.741
6.0,26.171
8.0,3.156
40.0,3.082
6.0,31.229
2.0,17.179
6.0,19.092
2.0,222.017
6.0,29.23
2.0,7.311
6.0,11.547
2.0,1.825
8.0,14.347
2.0,46.107
6.0,43.838
2.0,13.308
6.0,26.345
2.0,53.868
6.0,29.287
2.0,50.446
6.0,5.581
2.0,12.664
6.0,0.798
2.0,23.222
41.0,3.263
2.0,39.729
8.0,2.469
2.0,1.768
8.0,1.869
2.0,5.754
6.0,6.416
2.0,244.737
8.0,0.998
3.0,4.201
8.0,4.234
3.0,38.817
2.0,12.934
3.0,0.856
2.0,1.127
3.0,2.324
2.0,41.781
8.0,4.155
2.0,1.819
6.0,2.088
2.0,15.651
6.0,5.778
2.0,4.975
6.0,23.22
2.0,62.847
8.0,11.408
3.0,8.206
2.0,373.72
6.0,6.37
2.0,403.941
8.0,10.428
2.0,230.106
8.0,1.341
2.0,667.388
6.0,290.107
2.0,370.417
6.0,77.361
2.0,666.54
6.0,2.759
2.0,195.55
34.0,7.385
6.0,19.946
2.0,94.339
6.0,7298.953
